number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_num_flows,params_patience,state
75,-0.09352519189318022,2024-12-09 13:29:29.580678,2024-12-09 13:49:24.749117,0 days 00:19:55.168439,32,448,32,0.0004620994206188661,3,10,COMPLETE
76,-0.23008167097965876,2024-12-09 13:40:04.628963,2024-12-09 14:01:29.237854,0 days 00:21:24.608891,32,448,32,0.0004829904274342982,3,10,COMPLETE
77,-0.08148623704910278,2024-12-09 13:40:42.303200,2024-12-09 14:05:03.081035,0 days 00:24:20.777835,32,384,32,0.000459172602913105,6,10,COMPLETE
78,-0.071962970495224,2024-12-09 13:48:20.472846,2024-12-09 14:10:54.259987,0 days 00:22:33.787141,32,384,32,0.00041659997067784493,6,6,COMPLETE
79,-0.21349575718243916,2024-12-09 13:48:53.525573,2024-12-09 14:08:34.168730,0 days 00:19:40.643157,32,448,32,0.0001968651468908504,2,10,COMPLETE
80,-0.24682842989762624,2024-12-09 13:49:24.749117,2024-12-09 14:08:20.042475,0 days 00:18:55.293358,32,384,32,0.00041758018896401357,2,10,COMPLETE
81,-0.10557744093239307,2024-12-09 13:49:30.968973,2024-12-09 14:10:30.163364,0 days 00:20:59.194391,8,384,32,0.000848751286955173,2,6,COMPLETE
82,-0.391385501374801,2024-12-09 13:58:00.679640,2024-12-09 14:52:34.339676,0 days 00:54:33.660036,8,384,32,0.0008216800244245868,2,6,COMPLETE
83,-0.4588375799357891,2024-12-09 13:59:32.443077,2024-12-09 15:15:41.296887,0 days 01:16:08.853810,8,384,32,0.00019784546249452395,6,6,COMPLETE
84,0.043961160040150084,2024-12-09 14:00:53.950860,2024-12-09 14:24:35.448324,0 days 00:23:41.497464,8,384,32,0.0009119538420650553,6,6,COMPLETE
85,-0.3886928327381611,2024-12-09 14:01:29.237854,2024-12-09 15:16:53.015561,0 days 01:15:23.777707,8,384,32,0.0002028881988349008,6,6,COMPLETE
86,-0.7481759781638782,2024-12-09 14:05:03.081035,2024-12-09 15:19:15.260411,0 days 01:14:12.179376,8,384,32,0.00018619529179009111,6,6,COMPLETE
87,-0.05072316074122985,2024-12-09 14:05:41.322479,2024-12-09 14:15:49.941197,0 days 00:10:08.618718,8,448,32,0.0008647371522937443,6,6,COMPLETE
88,-0.8421228011449178,2024-12-09 14:08:20.042475,2024-12-09 15:22:52.935739,0 days 01:14:32.893264,8,448,32,0.0008986837404360525,6,6,COMPLETE
